
Logging initialized using configuration in jar:file:/home/ubuntu/software/hive-1.2.1/lib/hive-common-1.2.1.jar!/hive-log4j.properties
Hive history file=/tmp/ubuntu/hive_job_log_16326277-c9c5-47dd-8a0e-95316a8208cf_472263973.txt
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/ubuntu/software/tez-0.7.1-SNAPSHOT-minimal/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/ubuntu/software/hadoop-2.6.0/share/hadoop/common/lib/slf4j-log4j12-1.7.5.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]
OK
Time taken: 1.518 seconds
Query ID = ubuntu_20150920204254_d089cb04-f50b-4c28-8515-1cb85463a845
Total jobs = 10
Stage-1 is selected by condition resolver.
Launching Job 1 out of 10
Number of reduce tasks not specified. Estimated from input data size: 86
In order to change the average load for a reducer (in bytes):
  set hive.exec.reducers.bytes.per.reducer=<number>
In order to limit the maximum number of reducers:
  set hive.exec.reducers.max=<number>
In order to set a constant number of reducers:
  set mapreduce.job.reduces=<number>
Starting Job = job_1442094837470_0105, Tracking URL = http://vm-1:8088/proxy/application_1442094837470_0105/
Kill Command = /home/ubuntu/software/hadoop-2.6.0/bin/hadoop job  -kill job_1442094837470_0105
Hadoop job information for Stage-1: number of mappers: 82; number of reducers: 86
2015-09-20 20:43:16,431 Stage-1 map = 0%,  reduce = 0%
2015-09-20 20:43:32,752 Stage-1 map = 1%,  reduce = 0%, Cumulative CPU 116.1 sec
2015-09-20 20:43:34,887 Stage-1 map = 2%,  reduce = 0%, Cumulative CPU 123.48 sec
2015-09-20 20:43:35,943 Stage-1 map = 4%,  reduce = 0%, Cumulative CPU 148.09 sec
2015-09-20 20:43:38,056 Stage-1 map = 5%,  reduce = 0%, Cumulative CPU 155.27 sec
2015-09-20 20:43:39,126 Stage-1 map = 8%,  reduce = 0%, Cumulative CPU 179.33 sec
2015-09-20 20:43:42,291 Stage-1 map = 11%,  reduce = 0%, Cumulative CPU 220.48 sec
2015-09-20 20:43:44,425 Stage-1 map = 13%,  reduce = 0%, Cumulative CPU 239.03 sec
2015-09-20 20:43:45,532 Stage-1 map = 15%,  reduce = 0%, Cumulative CPU 263.66 sec
2015-09-20 20:43:47,688 Stage-1 map = 16%,  reduce = 0%, Cumulative CPU 295.57 sec
2015-09-20 20:43:48,760 Stage-1 map = 18%,  reduce = 0%, Cumulative CPU 301.11 sec
2015-09-20 20:43:49,851 Stage-1 map = 19%,  reduce = 0%, Cumulative CPU 304.73 sec
2015-09-20 20:43:52,135 Stage-1 map = 20%,  reduce = 0%, Cumulative CPU 317.98 sec
2015-09-20 20:43:58,503 Stage-1 map = 21%,  reduce = 0%, Cumulative CPU 377.12 sec
2015-09-20 20:43:59,565 Stage-1 map = 22%,  reduce = 0%, Cumulative CPU 388.14 sec
2015-09-20 20:44:01,696 Stage-1 map = 23%,  reduce = 0%, Cumulative CPU 424.24 sec
2015-09-20 20:44:02,758 Stage-1 map = 24%,  reduce = 0%, Cumulative CPU 445.17 sec
2015-09-20 20:44:03,815 Stage-1 map = 25%,  reduce = 0%, Cumulative CPU 457.12 sec
